,Price,Area (m²),Number of rooms,Address,Heating,Market,Advertiser type,Building type,Year of construction,Windows,Building material,type,voivodeship,offer year
1583,515850.0,34.39,2.0,"ul. Kościelna, Jeżyce, Jeżyce, Poznań, wielkopolskie",miejskie,pierwotny,deweloper,apartamentowiec,2024,plastikowe,inny,studio,wielkopolskie,2025
1584,449000.0,40.3,2.0,"Bojary, Białystok, podlaskie",miejskie,wtórny,biuro nieruchomości,apartamentowiec,2007,plastikowe,cegła,studio,podlaskie,2025
1585,360000.0,25.39,2.0,"ul. Ludwika Rydygiera, Nadodrze, Śródmieście, Wrocław, dolnośląskie",gazowe,wtórny,biuro nieruchomości,kamienica,1920,plastikowe,cegła,studio,dolnośląskie,2025
1586,669000.0,45.0,2.3333333333333335,"ul. Grochowska, Kamionek, Praga-Południe, Warszawa, mazowieckie",miejskie,wtórny,biuro nieruchomości,kamienica,1939,drewniane,cegła,studio,mazowieckie,2025
1587,613386.0,27.63,2.0,"ul. Czysta, Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie",inne,pierwotny,deweloper,apartamentowiec,2024,drewniane,inny,studio,dolnośląskie,2025
1588,419000.0,31.5,2.0,"Kowale, Kolbudy, gdański, pomorskie",miejskie,wtórny,prywatny,blok,1980,plastikowe,silikat,studio,pomorskie,2025
1589,230000.0,24.05,2.0,"ul. Rzeźnicza, Dzierżoniów, dzierżoniowski, dolnośląskie",miejskie,wtórny,prywatny,blok,1976,plastikowe,wielka płyta,studio,dolnośląskie,2025
1590,448000.0,28.0,2.0,"ul. Wierzbowa, Centrum, Stare Miasto, Poznań, wielkopolskie",miejskie,wtórny,biuro nieruchomości,blok,2008,plastikowe,cegła,studio,wielkopolskie,2025
1591,574795.0,37.75,2.0,"ul. Leona Heyki, Międzyodrze-Wyspa Pucka, Śródmieście, Szczecin, zachodniopomorskie",miejskie,pierwotny,deweloper,apartamentowiec,2027,plastikowe,inny,studio,zachodniopomorskie,2025
1592,286133.0,27.53,2.0,"Stare Polesie, Polesie, Łódź, łódzkie",miejskie,pierwotny,biuro nieruchomości,apartamentowiec,2025,plastikowe,silikat,studio,łódzkie,2025
1593,409743.0,25.77,2.0,"ul. Kantorowicka, Zesławice, Wzgórza Krzesławickie, Kraków, małopolskie",miejskie,pierwotny,deweloper,apartamentowiec,2024,plastikowe,inny,studio,małopolskie,2025
1594,316557.0,26.54,2.0,"ul. Siennicka, Śródmieście, Gdańsk, pomorskie",miejskie,pierwotny,biuro nieruchomości,apartamentowiec,2025,plastikowe,inny,studio,pomorskie,2025
1595,1342000.0,41.91,2.0,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,beton komórkowy,studio,mazowieckie,2025
1596,450244.3333333333,29.55,2.0,"ul. Łopianowa, Żerań, Białołęka, Warszawa, mazowieckie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,beton komórkowy,studio,mazowieckie,2025
1597,410482.0,29.9,2.0,"Magazynowa, Kowale, Kolbudy, gdański, pomorskie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,inny,studio,pomorskie,2025
1598,315195.0,32.89,2.0,"ul. Spółdzielcza, Garby, Swarzędz, poznański, wielkopolskie",miejskie,pierwotny,deweloper,apartamentowiec,2025,plastikowe,inny,studio,wielkopolskie,2025
1599,471500.0,33.11,2.0,"Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",miejskie,pierwotny,biuro nieruchomości,blok,2022,plastikowe,inny,studio,dolnośląskie,2025
1600,531840.0,33.24,2.0,"ul. Głębocka, Grodzisk, Białołęka, Warszawa, mazowieckie",miejskie,pierwotny,deweloper,apartamentowiec,2025,plastikowe,inny,studio,mazowieckie,2025
1601,529000.0,32.39,2.0,"ul. Chmielna, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",miejskie,wtórny,biuro nieruchomości,blok,2019,plastikowe,cegła,studio,małopolskie,2025
1602,449000.0,33.0,2.0,"ul. Potulicka, Nowe Miasto, Śródmieście, Szczecin, zachodniopomorskie",miejskie,pierwotny,biuro nieruchomości,blok,2025,plastikowe,cegła,studio,zachodniopomorskie,2025
